"shangpaishijian","licheng","biansu","zhouju","mali","tianchuang1","tianchuang2","zhenpizuoyi","daocheyingxiang","daocheleida","GPS","zhongdashigu","waiguan_neishi","yuanjia","baojia","ratio","SUV","紧凑型车","其他","小型车","中大型车","中型车","国四","国五","普通级轿车","微型轿车","中高级轿车","中级轿车","华晨宝马","其他.1","上汽大众","上汽集团","上汽通用别克","上汽通用雪佛兰","一汽.大众奥迪","长安福特"
46,5.11,"0",2810,184,"1","0","1","0","1","0","0","0",36.8,15.69,-0.296723295115288,"0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
0,4.22,"0",2670,136,"0","0","0","0","0","0","0","0",25.5,14.23,0.233208084050076,"0","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0"
45,2.85,"0",2811,333,"1","0","1","0","1","1","0","0",79,27.8,-0.610703511348871,"0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0"
16,4.92,"0",2737,254,"1","0","1","1","1","0","0","0",26,11.79,-0.18669422755973,"0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0"
12,5.67,"0",2775,155,"1","0","1","1","1","0","0","0",22.4,14.67,0.64069572955556,"0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
8,2.95,"0",2869,180,"1","0","0","0","1","0","0","0",34,19.64,0.313121739306242,"0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","1","0"
31,8.4,"0",2774,240,"1","1","1","0","1","0","0","0",45,17.27,-0.473543967469099,"1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
9,2.14,"0",2856,180,"1","0","1","0","1","0","0","1",33.6,15.94,-0.102470521813745,"0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
3,1.37,"0",2900,186,"1","1","1","1","1","1","0","0",31.8,24.46,1.2037002876326,"0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
10,5.83,"0",2830,158,"1","0","1","1","1","0","1","0",20.5,12.73,0.493691248189759,"0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
19,7.41,"0",2690,170,"1","0","0","0","1","0","0","0",31.7,12.83,-0.385787180752914,"0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
8,7.37,"0",2700,155,"1","0","0","0","1","0","0","0",20.7,11.89,0.299810270754603,"1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
22,0.91,"0",2770,143,"1","1","0","0","1","0","0","0",15.2,10.63,0.844166987447744,"0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
33,12.73,"0",2803,160,"0","0","0","0","0","0","0","1",26,10.66,-0.363965377201412,"0","0","0","0","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0"
15,1.64,"0",2774,245,"1","1","1","0","1","1","0","0",46.7,27.95,0.399223447184688,"1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
20,8.19,"0",2850,211,"0","0","0","0","0","0","0","1",40.1,17.53,-0.252707891896301,"0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
33,9.22,"0",2684,160,"0","0","1","0","1","0","0","0",25.8,11.15,-0.273000837556949,"1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0"
5,3.15,"0",2600,112,"0","0","0","0","1","0","0","0",8.1,4.56,0.253195896380611,"0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0"
44,6.24,"0",2712,200,"1","0","1","1","1","0","0","0",30.5,13.91,-0.176192098267002,"0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
24,2.6,"0",2850,181,"1","0","0","0","1","0","0","0",20.6,11.11,0.157606991029702,"0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1"
24,2.99,"1",2610,131,"0","0","0","0","0","0","0","1",14.7,6.98,-0.100765447262404,"0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0"
18,0.54,"0",2555,140,"1","0","0","1","1","0","0","0",18.4,10.06,0.187503948300938,"1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0"
63,6.98,"0",2709,131,"1","0","1","0","1","0","0","0",22.1,6.45,-0.886390786178481,"0","0","0","0","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0"
14,4.86,"0",2656,150,"1","0","1","0","1","0","0","0",20,11.95,0.395059186947047,"0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0"
14,1.17,"1",2750,106,"0","0","0","0","0","0","0","1",5.2,2.95,0.2708749541354,"0","0","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0"
