shangpaishijian,licheng,biansu,zhouju,pailiang,mali,tianchuang1,tianchuang2,zhenpizuoyi,daocheyingxiang,daocheleida,GPS,zhongdashigu,waiguan_neishi,yuanjia,baojia,paifang,changshang,cheshen_type
46,5.11,0,2810,2,184,1,0,1,0,1,0,0,0,36.8,15.69,国五,宝马(进口),中型车
0,4.22,0,2670,1.5,136,0,0,0,0,0,0,0,0,25.5,14.23,国五,华晨宝马,紧凑型车
45,2.85,0,2811,3,333,1,0,1,0,1,1,0,0,79,27.8,国四,奥迪(进口),中型车
16,4.92,0,2737,2,254,1,0,1,1,1,0,0,0,26,11.79,国五,上汽通用别克,中型车
12,5.67,0,2775,2,155,1,0,1,1,1,0,0,0,22.4,14.67,国五,广汽本田,中型车
8,2.95,0,2869,2,180,1,0,0,0,1,0,0,0,34,19.64,国五,一汽-大众奥迪,中型车
31,8.4,0,2774,2,240,1,1,1,0,1,0,0,0,45,17.27,国四,沃尔沃(进口),中型SUV
9,2.14,0,2856,2,180,1,0,1,0,1,0,0,1,33.6,15.94,国五,沃尔沃亚太,中型车
3,1.37,0,2900,2.4,186,1,1,1,1,1,1,0,0,31.8,24.46,国五,东风本田,MPV
10,5.83,0,2830,2,158,1,0,1,1,1,0,1,0,20.5,12.73,国五,一汽马自达,中型车
19,7.41,0,2690,1.6,170,1,0,0,0,1,0,0,0,31.7,12.83,国五,宝马(进口),紧凑型车
8,7.37,0,2700,2,155,1,0,0,0,1,0,0,0,20.7,11.89,国五,长安马自达,紧凑型SUV
22,0.91,0,2770,1.8,143,1,1,0,0,1,0,0,0,15.2,10.63,国五,东风悦达起亚,中型车
33,12.73,0,2803,1.8,160,0,0,0,0,0,0,0,1,26,10.66,国四,上汽大众,中型车
15,1.64,0,2774,2,245,1,1,1,0,1,1,0,0,46.7,27.95,国五,沃尔沃亚太,中型SUV
20,8.19,0,2850,2,211,0,0,0,0,0,0,0,1,40.1,17.53,国五,英菲尼迪(进口),中型车
33,9.22,0,2684,1.8,160,0,0,1,0,1,0,0,0,25.8,11.15,国四,上汽大众,紧凑型SUV
5,3.15,0,2600,1.5,112,0,0,0,0,1,0,0,0,8.1,4.56,国五,海马汽车,紧凑型车
44,6.24,0,2712,2,200,1,0,1,1,1,0,0,0,30.5,13.91,国四,一汽-大众,中型车
24,2.6,0,2850,1.5,181,1,0,0,0,1,0,0,0,20.6,11.11,国四,长安福特,中型车
24,2.99,1,2610,1.4,131,0,0,0,0,0,0,0,1,14.7,6.98,国四,一汽-大众,紧凑型车
18,0.54,0,2555,1.4,140,1,0,0,1,1,0,0,0,18.4,10.06,国五,上汽通用别克,小型SUV
63,6.98,0,2709,1.4,131,1,0,1,0,1,0,0,0,22.1,6.45,国四,一汽-大众,中型车
14,4.86,0,2656,1.4,150,1,0,1,0,1,0,0,0,20,11.95,国五,上汽大众,紧凑型车
14,1.17,1,2750,1.5,106,0,0,0,0,0,0,0,1,5.2,2.95,国五,长安汽车,微面
39,9.99,0,2640,2.5,171,1,1,1,1,0,1,0,0,30.4,11.92,国四,斯巴鲁,紧凑型SUV
4,2.3,0,2860,2,279,1,0,0,0,0,0,0,1,32.4,18.09,国五,上汽通用凯迪拉克,中型车
6,1.45,0,2537,1.2,105,1,1,0,0,1,0,0,1,23.6,15.42,国五,大众(进口),紧凑型车
46,8.89,0,2712,2,200,1,0,1,1,1,1,0,0,32.9,13.02,国四,一汽-大众,中型车
13,5.19,0,3108,2,218,1,0,1,1,1,1,0,1,54.2,31.76,国五,华晨宝马,中大型车
36,4.87,0,2837,3,265,1,1,1,1,1,1,0,0,40.2,12.96,国四,上汽通用别克,中型车
27,1.23,0,3000,2,204,1,0,1,1,1,1,0,0,54.3,26.86,国四,大众(进口),MPV
49,9.42,0,2578,1.4,122,0,0,0,0,1,0,0,0,25.6,9.81,国四,大众(进口),跑车
5,3.63,0,2656,1.4,150,1,0,1,0,1,0,0,0,20,11.99,国五,上汽大众,紧凑型车
15,0.64,0,2570,1.4,150,1,1,0,0,1,0,0,0,16.3,10.33,国五,广汽菲克Jeep,小型SUV
29,7.26,0,2850,1.5,181,1,0,0,0,1,0,0,0,20.6,10.36,国五,长安福特,中型车
3,3.54,0,2700,2,158,1,0,1,1,1,0,0,0,18.4,13.28,国五,一汽马自达,紧凑型SUV
46,11.49,0,2812,1.8,160,1,0,1,0,1,0,0,0,25.3,11.22,国四,一汽-大众,中型车
33,5.18,0,2737,1.6,184,1,0,0,0,1,0,0,0,22.8,8.03,国四,上汽通用别克,中型车
23,3.41,0,2775,2,150,1,0,0,0,0,0,0,0,19.5,12.07,国五,广汽丰田,中型车
14,4.6,0,3108,2,245,1,0,1,1,1,1,0,1,59.8,32.02,国五,华晨宝马,中大型车
33,6.46,0,2635,2,150,1,0,1,1,0,0,0,1,24.4,10.26,国五,斯巴鲁,紧凑型SUV
16,0.37,1,2390,1.3,99,0,0,0,1,1,1,0,1,5.4,3.34,国五,江淮汽车,小型SUV
56,8.98,0,2795,2,165,0,0,0,0,0,0,0,0,20.5,7.12,国四,东风悦达起亚,中型车
33,9.23,0,2750,2,144,1,0,0,0,0,0,0,0,19.2,8.11,国四,马自达(进口),MPV
18,8.14,0,2685,1.6,121,1,0,0,0,1,0,1,0,16.6,6.35,国四,上汽通用别克,紧凑型车
7,0.55,0,2775,2,167,1,0,1,0,0,0,0,0,20.9,14.6,国五,广汽丰田,中型车
