"
",817
预约,2418
消费,1458
请,1451
保留,829
提前,822
逾期,816
至少,810
需,723
排号,721
期间,721
等位,721
高峰,721
无需,720
位,611
准时,610
天,510
小时,447
商家,85
分钟,68
30,60
详询,46
24,35
电话,19
体验,17
前,17
咨询,16
0,14
17,11
保证,11
10,9
12,9
时请,9
来电,9
提供,8
团购,7
如需,7
详情,7
安排,6
验证,6
4001115278,5
即可,5
拨打,5
20,4
券,4
姓名,4
微信,4
成功,4
时间,4
详情请,4
课程,4
验证码,4
店,3
购买,3
15,2
人数,2
会籍,2
券号,2
十位,2
帮,2
改,2
数字,2
真实,2
约,2
致电,2
身份证号,2
顾问,2
飞行,2
1,1
18,1
300,1
60,1
87255508,1
下单,1
不便,1
两天,1
之日起,1
众多,1
儿童,1
分,1
券请,1
前往,1
半天,1
卡,1
取消,1
可到,1
名额,1
后方,1
周内,1
场地,1
如遇,1
学习,1
带来,1
情况,1
报名,1
指导,1
教练,1
时,1
月,1
有效期,1
沟通,1
电,1
细则,1
舞蹈社,1
节假日,1
计入,1
请来,1
谅解,1
预留,1
